timestamp,consumption,meter_id,location,temperature,humidity
2025-01-03 05:00:00,115.54,M004,Factory,15.92,11.62
2025-01-03 06:00:00,109.99,M001,Data Center,15.82,10.87
2025-01-03 07:00:00,103.46,M003,Office,15.73,10.12
2025-01-03 08:00:00,121.89,M002,Factory,15.64,9.37
2025-01-03 09:00:00,130.48,M005,Warehouse,15.56,8.62
2025-01-03 10:00:00,138.26,M004,Office,15.47,7.87
2025-01-03 11:00:00,143.92,M001,Factory,15.38,7.12
2025-01-03 12:00:00,146.43,M003,Data Center,15.29,6.37
2025-01-03 13:00:00,145.00,M002,Warehouse,15.20,5.62
2025-01-03 14:00:00,140.26,M005,Office,15.12,4.87
2025-01-03 15:00:00,133.20,M004,Factory,15.03,4.13
2025-01-03 16:00:00,124.76,M001,Warehouse,14.95,3.38
2025-01-03 17:00:00,115.80,M003,Data Center,14.86,2.63
2025-01-03 18:00:00,107.17,M002,Office,14.78,1.88
2025-01-03 19:00:00,100.53,M005,Factory,14.69,1.13
2025-01-03 20:00:00,96.98,M004,Warehouse,14.61,0.39
2025-01-03 21:00:00,96.67,M001,Data Center,14.53,-0.36
2025-01-03 22:00:00,99.42,M003,Office,14.45,-1.11
2025-01-03 23:00:00,104.38,M002,Factory,14.37,-1.85
2025-01-04 00:00:00,110.35,M005,Data Center,14.29,-2.60
2025-01-04 01:00:00,116.12,M004,Office,14.21,-3.34
2025-01-04 02:00:00,120.18,M001,Factory,14.13,-4.09
2025-01-04 03:00:00,121.92,M003,Warehouse,14.05,-4.84
2025-01-04 04:00:00,120.98,M002,Data Center,13.97,-5.58
2025-01-04 05:00:00,117.24,M005,Office,13.89,-6.33
2025-01-04 06:00:00,111.10,M004,Factory,13.82,-7.07
2025-01-04 07:00:00,103.96,M001,Warehouse,13.74,-7.82
2025-01-04 08:00:00,122.20,M003,Office,13.66,-8.56
2025-01-04 09:00:00,131.03,M002,Factory,13.59,-9.31
2025-01-04 10:00:00,138.75,M005,Data Center,13.51,-10.05
2025-01-04 11:00:00,144.12,M004,Warehouse,13.44,-10.80
2025-01-04 12:00:00,146.39,M001,Office,13.36,-11.54
2025-01-04 13:00:00,144.76,M003,Factory,13.29,-12.28
2025-01-04 14:00:00,139.85,M002,Data Center,13.22,-13.03
2025-01-04 15:00:00,132.63,M005,Office,13.14,-13.77
2025-01-04 16:00:00,123.93,M004,Factory,13.07,-14.51
2025-01-04 17:00:00,114.83,M001,Warehouse,13.00,-15.26
2025-01-04 18:00:00,106.04,M003,Data Center,12.93,-16.00
2025-01-04 19:00:00,99.41,M002,Office,12.86,-16.74
2025-01-04 20:00:00,95.87,M005,Factory,12.79,-17.48
2025-01-04 21:00:00,95.41,M004,Warehouse,12.72,-18.23
2025-01-04 22:00:00,97.94,M001,Data Center,12.65,-18.97
2025-01-04 23:00:00,102.69,M003,Office,12.58,-19.71
2025-01-05 00:00:00,108.43,M002,Factory,12.51,-20.45
2025-01-05 01:00:00,114.12,M005,Data Center,12.44,-21.19
2025-01-05 02:00:00,117.97,M004,Warehouse,12.38,-21.93
2025-01-05 03:00:00,119.52,M001,Office,12.31,-22.67
2025-01-05 04:00:00,66.35,M003,Factory,12.24,-23.41
2025-01-05 05:00:00,114.49,M002,Warehouse,12.18,-24.15
2025-01-05 06:00:00,107.83,M005,Office,12.11,-24.89
2025-01-05 07:00:00,100.49,M004,Factory,12.05,-25.63
2025-01-05 08:00:00,118.51,M001,Data Center,11.98,-26.37
2025-01-05 09:00:00,127.04,M003,Office,11.92,-27.11
2025-01-05 10:00:00,134.33,M002,Factory,11.85,-27.85
2025-01-05 11:00:00,139.44,M005,Warehouse,11.79,-28.59
2025-01-05 12:00:00,141.42,M004,Data Center,11.73,-29.32
2025-01-05 13:00:00,139.51,M001,Office,11.67,-30.06
2025-01-05 14:00:00,134.40,M003,Factory,11.61,-30.80
2025-01-05 15:00:00,127.21,M002,Warehouse,11.54,-31.54
2025-01-05 16:00:00,118.24,M005,Data Center,11.48,-32.27
2025-01-05 17:00:00,108.61,M004,Office,11.42,-33.01
2025-01-05 18:00:00,99.41,M001,Factory,11.36,-33.75
2025-01-05 19:00:00,92.23,M003,Warehouse,11.30,-34.48
2025-01-05 20:00:00,88.43,M002,Office,11.24,-35.22
2025-01-05 21:00:00,88.08,M005,Factory,11.18,-35.96
2025-01-05 22:00:00,91.06,M004,Data Center,11.13,-36.69
2025-01-05 23:00:00,96.50,M001,Warehouse,11.07,-37.43
2025-01-06 00:00:00,103.26,M003,Office,11.01,-38.16
2025-01-06 01:00:00,109.85,M002,Factory,10.96,-38.90
2025-01-06 02:00:00,114.22,M005,Data Center,10.90,-39.63
2025-01-06 03:00:00,116.17,M004,Warehouse,10.84,-40.37
2025-01-06 04:00:00,115.19,M001,Office,10.79,-41.10
2025-01-06 05:00:00,111.45,M003,Factory,10.73,-41.83
2025-01-06 06:00:00,105.50,M002,Data Center,10.68,-42.57
2025-01-06 07:00:00,98.15,M005,Office,10.62,-43.30
2025-01-06 08:00:00,115.87,M004,Factory,10.57,-44.03
2025-01-06 09:00:00,123.69,M001,Warehouse,10.52,-44.76
2025-01-06 10:00:00,130.68,M003,Data Center,10.46,-45.49
2025-01-06 11:00:00,135.39,M002,Office,10.41,-46.23
2025-01-06 12:00:00,137.07,M005,Factory,10.36,-46.96
2025-01-06 13:00:00,135.17,M004,Warehouse,10.31,-47.69
2025-01-06 14:00:00,130.00,M001,Office,10.25,-48.42
2025-01-06 15:00:00,122.61,M003,Factory,10.20,-49.15
2025-01-06 16:00:00,113.51,M002,Data Center,10.15,-49.88
2025-01-06 17:00:00,103.88,M005,Warehouse,10.10,-50.61
2025-01-06 18:00:00,94.47,M004,Office,10.05,-51.34
2025-01-06 19:00:00,87.29,M001,Factory,10.00,-52.07
2025-01-06 20:00:00,83.52,M003,Data Center,9.95,-52.80
2025-01-06 21:00:00,83.21,M002,Office,9.90,-53.53
2025-01-06 22:00:00,86.23,M005,Factory,9.86,-54.25
2025-01-06 23:00:00,91.65,M004,Warehouse,9.81,-54.98
2025-01-07 00:00:00,98.30,M001,Data Center,9.76,-55.71
2025-01-07 01:00:00,104.86,M003,Office,9.71,-56.44
2025-01-07 02:00:00,109.14,M002,Factory,9.67,-57.16
2025-01-07 03:00:00,111.02,M005,Warehouse,9.62,-57.89
2025-01-07 04:00:00,109.97,M004,Office,9.57,-58.62
2025-01-07 05:00:00,106.18,M001,Factory,9.53,-59.34
2025-01-07 06:00:00,100.16,M003,Data Center,9.48,-60.07
2025-01-07 07:00:00,92.68,M002,Office,9.44,-60.79
2025-01-07 08:00:00,110.28,M005,Factory,9.39,-61.52
2025-01-07 09:00:00,118.04,M004,Warehouse,9.35,-62.24
2025-01-07 10:00:00,124.85,M001,Data Center,9.30,-62.96
2025-01-07 11:00:00,129.35,M003,Office,9.26,-63.69
2025-01-07 12:00:00,130.88,M002,Factory,9.22,-64.41
2025-01-07 13:00:00,128.93,M005,Warehouse,9.17,-65.13
2025-01-07 14:00:00,123.84,M004,Data Center,9.13,-65.85
2025-01-07 15:00:00,116.78,M001,Office,9.09,-66.58
2025-01-07 16:00:00,107.85,M003,Factory,9.05,-67.30
2025-01-07 17:00:00,98.33,M002,Warehouse,9.01,-68.02
2025-01-07 18:00:00,88.99,M005,Office,8.97,-68.74
2025-01-07 19:00:00,81.84,M004,Factory,8.93,-69.46
2025-01-07 20:00:00,78.12,M001,Data Center,8.88,-70.18
2025-01-07 21:00:00,77.88,M003,Warehouse,8.84,-70.90
2025-01-07 22:00:00,80.99,M002,Office,8.80,-71.62
2025-01-07 23:00:00,86.42,M005,Factory,8.77,-72.34
2025-01-08 00:00:00,93.03,M004,Data Center,8.73,-73.06
2025-01-08 01:00:00,99.55,M001,Office,8.69,-73.78
2025-01-08 02:00:00,103.76,M003,Factory,8.65,-74.50
2025-01-08 03:00:00,105.56,M002,Warehouse,8.61,-75.22
2025-01-08 04:00:00,104.49,M005,Data Center,8.57,-75.93
2025-01-08 05:00:00,100.63,M004,Office,8.54,-76.65
2025-01-08 06:00:00,94.55,M001,Factory,8.50,-77.37
2025-01-08 07:00:00,86.96,M003,Warehouse,8.46,-78.09
2025-01-08 08:00:00,104.36,M002,Office,8.43,-78.80
2025-01-08 09:00:00,111.97,M005,Factory,8.39,-79.52
2025-01-08 10:00:00,118.52,M004,Data Center,8.35,-80.23
2025-01-08 11:00:00,122.85,M001,Warehouse,8.32,-80.95
2025-01-08 12:00:00,124.18,M003,Office,8.28,-81.66
2025-01-08 13:00:00,122.13,M002,Factory,8.25,-82.38
2025-01-08 14:00:00,117.06,M005,Data Center,8.21,-83.09
2025-01-08 15:00:00,110.16,M004,Warehouse,8.18,-83.80
2025-01-08 16:00:00,101.45,M001,Office,8.14,-84.52
2025-01-08 17:00:00,92.13,M003,Factory,8.11,-85.23
2025-01-08 18:00:00,82.93,M002,Data Center,8.08,-85.94
2025-01-08 19:00:00,75.90,M005,Warehouse,8.04,-86.66
2025-01-08 20:00:00,72.29,M004,Office,8.01,-87.37
2025-01-08 21:00:00,72.07,M001,Factory,7.98,-88.08
2025-01-08 22:00:00,75.16,M003,Data Center,7.94,-88.79
2025-01-08 23:00:00,80.47,M002,Office,7.91,-89.50
2025-01-09 00:00:00,86.96,M005,Factory,7.88,-90.21
2025-01-09 01:00:00,93.40,M004,Warehouse,7.85,-90.92
2025-01-09 02:00:00,97.49,M001,Data Center,7.82,-91.63
2025-01-09 03:00:00,99.20,M003,Office,7.79,-92.34
2025-01-09 04:00:00,98.06,M002,Factory,7.76,-93.05
2025-01-09 05:00:00,94.18,M005,Warehouse,7.73,-93.76
2025-01-09 06:00:00,88.08,M004,Office,7.70,-94.47
2025-01-09 07:00:00,80.46,M001,Factory,7.67,-95.17
2025-01-09 08:00:00,97.70,M003,Data Center,7.64,-95.88
2025-01-09 09:00:00,105.16,M002,Warehouse,7.61,-96.59
2025-01-09 10:00:00,111.43,M005,Office,7.58,-97.29
2025-01-09 11:00:00,115.51,M004,Factory,7.55,-98.00
2025-01-09 12:00:00,116.70,M001,Data Center,7.52,-98.71
2025-01-09 13:00:00,114.54,M003,Warehouse,7.50,-99.41
2025-01-09 14:00:00,109.51,M002,Office,7.47,-100.12
2025-01-09 15:00:00,102.67,M005,Factory,7.44,-100.82
2025-01-09 16:00:00,94.16,M004,Data Center,7.41,-101.53
2025-01-09 17:00:00,85.04,M001,Warehouse,7.39,-102.23
2025-01-09 18:00:00,76.03,M003,Office,7.36,-102.94
2025-01-09 19:00:00,69.19,M002,Factory,7.33,-103.64
2025-01-09 20:00:00,65.66,M005,Data Center,7.31,-104.34
2025-01-09 21:00:00,65.41,M004,Warehouse,7.28,-105.05
2025-01-09 22:00:00,68.39,M001,Office,7.26,-105.75
2025-01-09 23:00:00,73.57,M003,Factory,7.23,-106.45
